@relation   wdbc
@attribute Radius1 real[6.981,28.11]
@attribute Texture1 real[9.71,39.28]
@attribute Perimeter1 real[43.79,188.5]
@attribute Area1 real[143.5,2501.0]
@attribute Smoothness1 real[0.053,0.163]
@attribute Compactness1 real[0.019,0.345]
@attribute Concavity1 real[0.0,0.427]
@attribute Concave_points1 real[0.0,0.201]
@attribute Symmetry1 real[0.106,0.304]
@attribute Fractal_dimension1 real[0.05,0.097]
@attribute Radius2 real[0.112,2.873]
@attribute Texture2 real[0.36,4.885]
@attribute Perimeter2 real[0.757,21.98]
@attribute Area2 real[6.802,542.2]
@attribute Smoothness2 real[0.002,0.031]
@attribute Compactness2 real[0.002,0.135]
@attribute Concavity2 real[0.0,0.396]
@attribute Concave_points2 real[0.0,0.053]
@attribute Symmetry2 real[0.008,0.079]
@attribute Fractal_dimension2 real[0.001,0.03]
@attribute Radius3 real[7.93,36.04]
@attribute Texture3 real[12.02,49.54]
@attribute Perimeter3 real[50.41,251.2]
@attribute Area3 real[185.2,4254.0]
@attribute Smoothness3 real[0.071,0.223]
@attribute Compactness3 real[0.027,1.058]
@attribute Concavity3 real[0.0,1.252]
@attribute Concave_points3 real[0.0,0.291]
@attribute Symmetry3 real[0.156,0.664]
@attribute Fractal_dimension3 real[0.055,0.208]
@attribute Class{M,B}
@inputs Radius1,Texture1,Perimeter1,Area1,Smoothness1,Compactness1,Concavity1,Concave_points1,Symmetry1,Fractal_dimension1,Radius2,Texture2,Perimeter2,Area2,Smoothness2,Compactness2,Concavity2,Concave_points2,Symmetry2,Fractal_dimension2,Radius3,Texture3,Perimeter3,Area3,Smoothness3,Compactness3,Concavity3,Concave_points3,Symmetry3,Fractal_dimension3
@outputs Class
@data
17.29, 22.13, 114.4, 947.8, 0.09, 0.127, 0.097, 0.075, 0.211, 0.055, 0.835, 1.633, 6.146, 90.94, 0.007, 0.06, 0.046, 0.021, 0.027, 0.006, 20.39, 27.24, 137.9, 1295.0, 0.113, 0.287, 0.23, 0.153, 0.307, 0.075, M
15.66, 23.2, 110.2, 773.5, 0.111, 0.311, 0.318, 0.138, 0.25, 0.081, 1.292, 2.454, 10.12, 138.5, 0.012, 0.06, 0.082, 0.03, 0.023, 0.006, 19.85, 31.64, 143.7, 1226.0, 0.15, 0.517, 0.618, 0.246, 0.328, 0.102, M
18.63, 25.11, 124.8, 1088.0, 0.106, 0.189, 0.232, 0.124, 0.218, 0.062, 0.831, 1.466, 5.574, 105.0, 0.006, 0.034, 0.052, 0.012, 0.02, 0.005, 23.15, 34.01, 160.5, 1670.0, 0.149, 0.426, 0.613, 0.185, 0.344, 0.098, M
22.01, 21.9, 147.2, 1482.0, 0.106, 0.195, 0.245, 0.15, 0.182, 0.061, 1.008, 0.7, 7.561, 130.2, 0.004, 0.028, 0.036, 0.015, 0.015, 0.004, 27.66, 25.8, 195.0, 2227.0, 0.129, 0.388, 0.476, 0.243, 0.274, 0.086, M
14.95, 17.57, 96.85, 678.1, 0.117, 0.13, 0.154, 0.086, 0.196, 0.062, 1.296, 1.452, 8.419, 101.9, 0.01, 0.035, 0.066, 0.028, 0.052, 0.003, 18.55, 21.43, 121.4, 971.4, 0.141, 0.216, 0.336, 0.167, 0.341, 0.071, M
17.14, 16.4, 116.0, 912.7, 0.119, 0.228, 0.223, 0.14, 0.304, 0.074, 1.046, 0.976, 7.276, 111.4, 0.008, 0.038, 0.037, 0.024, 0.023, 0.007, 22.25, 21.4, 152.4, 1461.0, 0.154, 0.395, 0.385, 0.255, 0.407, 0.106, M
14.58, 21.53, 97.41, 644.8, 0.105, 0.187, 0.142, 0.088, 0.225, 0.069, 0.254, 0.983, 2.11, 21.05, 0.004, 0.031, 0.027, 0.014, 0.015, 0.004, 17.62, 33.21, 122.4, 896.9, 0.152, 0.664, 0.554, 0.27, 0.426, 0.128, M
15.32, 17.27, 103.2, 713.3, 0.134, 0.228, 0.245, 0.124, 0.24, 0.076, 0.659, 1.059, 4.061, 59.46, 0.01, 0.046, 0.05, 0.021, 0.019, 0.009, 17.73, 22.66, 119.8, 928.8, 0.176, 0.45, 0.443, 0.223, 0.326, 0.119, M
20.34, 21.51, 135.9, 1264.0, 0.117, 0.188, 0.256, 0.15, 0.257, 0.067, 0.57, 1.023, 4.012, 69.06, 0.005, 0.024, 0.032, 0.014, 0.028, 0.003, 25.3, 31.86, 171.1, 1938.0, 0.159, 0.449, 0.534, 0.268, 0.556, 0.102, M
18.81, 19.98, 120.9, 1102.0, 0.089, 0.059, 0.08, 0.058, 0.155, 0.05, 0.328, 0.828, 2.363, 36.74, 0.008, 0.011, 0.026, 0.015, 0.019, 0.002, 19.96, 24.3, 129.0, 1236.0, 0.124, 0.116, 0.221, 0.129, 0.257, 0.057, M
13.44, 21.58, 86.18, 563.0, 0.082, 0.06, 0.031, 0.02, 0.178, 0.056, 0.238, 0.826, 1.572, 20.53, 0.003, 0.011, 0.014, 0.007, 0.014, 0.001, 15.93, 30.25, 102.5, 787.9, 0.109, 0.204, 0.208, 0.111, 0.299, 0.071, M
20.2, 26.83, 133.7, 1234.0, 0.099, 0.167, 0.164, 0.126, 0.188, 0.06, 0.976, 1.892, 7.128, 103.6, 0.008, 0.047, 0.059, 0.025, 0.037, 0.004, 24.19, 33.81, 160.0, 1671.0, 0.128, 0.342, 0.37, 0.215, 0.327, 0.076, M
13.77, 22.29, 90.63, 588.9, 0.12, 0.127, 0.138, 0.065, 0.183, 0.069, 0.619, 2.112, 4.906, 49.7, 0.014, 0.033, 0.047, 0.021, 0.027, 0.004, 16.39, 34.01, 111.6, 806.9, 0.174, 0.312, 0.381, 0.167, 0.308, 0.093, M
20.47, 20.67, 134.7, 1299.0, 0.092, 0.131, 0.152, 0.102, 0.217, 0.054, 0.834, 1.736, 5.168, 100.4, 0.005, 0.031, 0.041, 0.017, 0.028, 0.003, 23.23, 27.15, 152.0, 1645.0, 0.11, 0.253, 0.309, 0.161, 0.322, 0.064, M
17.08, 27.15, 111.2, 930.9, 0.099, 0.111, 0.101, 0.064, 0.179, 0.063, 0.929, 1.152, 6.051, 115.2, 0.009, 0.022, 0.027, 0.015, 0.02, 0.004, 22.96, 34.49, 152.1, 1648.0, 0.16, 0.244, 0.264, 0.156, 0.301, 0.091, M
20.18, 19.54, 133.8, 1250.0, 0.113, 0.149, 0.213, 0.126, 0.172, 0.061, 0.433, 1.001, 3.008, 52.49, 0.009, 0.027, 0.055, 0.019, 0.025, 0.004, 22.03, 25.07, 146.0, 1479.0, 0.166, 0.294, 0.531, 0.217, 0.303, 0.081, M
16.02, 23.24, 102.7, 797.8, 0.082, 0.067, 0.033, 0.033, 0.153, 0.057, 0.38, 1.187, 2.466, 40.51, 0.004, 0.009, 0.011, 0.008, 0.015, 0.003, 19.19, 33.88, 123.8, 1150.0, 0.118, 0.155, 0.146, 0.1, 0.295, 0.085, M
23.29, 26.67, 158.9, 1685.0, 0.114, 0.208, 0.352, 0.162, 0.22, 0.062, 0.554, 1.56, 4.667, 83.16, 0.009, 0.051, 0.09, 0.025, 0.022, 0.005, 25.12, 32.68, 177.0, 1986.0, 0.154, 0.417, 0.789, 0.273, 0.32, 0.088, M
13.8, 15.79, 90.43, 584.1, 0.101, 0.128, 0.078, 0.051, 0.166, 0.066, 0.279, 0.62, 1.957, 23.35, 0.005, 0.021, 0.018, 0.009, 0.012, 0.003, 16.57, 20.86, 110.3, 812.4, 0.141, 0.354, 0.278, 0.138, 0.259, 0.103, M
15.46, 23.95, 103.8, 731.3, 0.118, 0.187, 0.203, 0.085, 0.181, 0.071, 0.333, 1.961, 2.937, 32.52, 0.01, 0.049, 0.06, 0.02, 0.021, 0.006, 17.11, 36.33, 117.7, 909.4, 0.173, 0.497, 0.591, 0.216, 0.301, 0.107, M
