@relation   wdbc
@attribute Radius1 real[6.981,28.11]
@attribute Texture1 real[9.71,39.28]
@attribute Perimeter1 real[43.79,188.5]
@attribute Area1 real[143.5,2501.0]
@attribute Smoothness1 real[0.053,0.163]
@attribute Compactness1 real[0.019,0.345]
@attribute Concavity1 real[0.0,0.427]
@attribute Concave_points1 real[0.0,0.201]
@attribute Symmetry1 real[0.106,0.304]
@attribute Fractal_dimension1 real[0.05,0.097]
@attribute Radius2 real[0.112,2.873]
@attribute Texture2 real[0.36,4.885]
@attribute Perimeter2 real[0.757,21.98]
@attribute Area2 real[6.802,542.2]
@attribute Smoothness2 real[0.002,0.031]
@attribute Compactness2 real[0.002,0.135]
@attribute Concavity2 real[0.0,0.396]
@attribute Concave_points2 real[0.0,0.053]
@attribute Symmetry2 real[0.008,0.079]
@attribute Fractal_dimension2 real[0.001,0.03]
@attribute Radius3 real[7.93,36.04]
@attribute Texture3 real[12.02,49.54]
@attribute Perimeter3 real[50.41,251.2]
@attribute Area3 real[185.2,4254.0]
@attribute Smoothness3 real[0.071,0.223]
@attribute Compactness3 real[0.027,1.058]
@attribute Concavity3 real[0.0,1.252]
@attribute Concave_points3 real[0.0,0.291]
@attribute Symmetry3 real[0.156,0.664]
@attribute Fractal_dimension3 real[0.055,0.208]
@attribute Class{M,B}
@inputs Radius1,Texture1,Perimeter1,Area1,Smoothness1,Compactness1,Concavity1,Concave_points1,Symmetry1,Fractal_dimension1,Radius2,Texture2,Perimeter2,Area2,Smoothness2,Compactness2,Concavity2,Concave_points2,Symmetry2,Fractal_dimension2,Radius3,Texture3,Perimeter3,Area3,Smoothness3,Compactness3,Concavity3,Concave_points3,Symmetry3,Fractal_dimension3
@outputs Class
@data
17.27, 25.42, 112.4, 928.8, 0.083, 0.111, 0.12, 0.057, 0.147, 0.054, 0.51, 1.679, 3.283, 58.38, 0.008, 0.043, 0.049, 0.017, 0.016, 0.004, 20.38, 35.46, 132.8, 1284.0, 0.144, 0.412, 0.504, 0.174, 0.25, 0.079, M
16.13, 17.88, 107.0, 807.2, 0.104, 0.156, 0.135, 0.078, 0.2, 0.065, 0.334, 0.686, 2.183, 35.03, 0.004, 0.029, 0.027, 0.009, 0.017, 0.004, 20.21, 27.26, 132.7, 1261.0, 0.145, 0.58, 0.527, 0.186, 0.427, 0.123, M
18.65, 17.6, 123.7, 1076.0, 0.11, 0.169, 0.197, 0.101, 0.191, 0.06, 0.629, 0.663, 4.293, 71.56, 0.006, 0.04, 0.056, 0.017, 0.024, 0.004, 22.82, 21.32, 150.6, 1567.0, 0.168, 0.509, 0.734, 0.238, 0.38, 0.092, M
19.8, 21.56, 129.7, 1230.0, 0.094, 0.131, 0.127, 0.087, 0.209, 0.056, 0.955, 1.186, 6.487, 124.4, 0.007, 0.032, 0.034, 0.017, 0.019, 0.004, 25.73, 28.64, 170.3, 2009.0, 0.135, 0.324, 0.362, 0.182, 0.307, 0.083, M
15.05, 19.07, 97.26, 701.9, 0.092, 0.086, 0.075, 0.043, 0.156, 0.059, 0.386, 1.198, 2.63, 38.49, 0.005, 0.016, 0.03, 0.009, 0.012, 0.002, 17.58, 28.06, 113.8, 967.0, 0.125, 0.21, 0.287, 0.112, 0.228, 0.07, M
17.99, 20.66, 117.8, 991.7, 0.104, 0.13, 0.12, 0.088, 0.199, 0.061, 0.454, 0.873, 3.061, 49.81, 0.007, 0.028, 0.025, 0.015, 0.014, 0.003, 21.08, 25.41, 138.1, 1349.0, 0.148, 0.374, 0.33, 0.197, 0.306, 0.085, M
13.61, 24.69, 87.76, 572.6, 0.093, 0.079, 0.053, 0.031, 0.176, 0.061, 0.231, 1.005, 1.752, 19.83, 0.004, 0.012, 0.018, 0.007, 0.013, 0.001, 16.89, 35.64, 113.2, 848.7, 0.147, 0.288, 0.38, 0.133, 0.347, 0.079, M
15.13, 29.81, 96.71, 719.5, 0.083, 0.046, 0.047, 0.027, 0.185, 0.053, 0.468, 1.627, 3.043, 45.38, 0.007, 0.014, 0.025, 0.009, 0.032, 0.002, 17.26, 36.91, 110.1, 931.4, 0.115, 0.099, 0.155, 0.066, 0.323, 0.062, M
16.65, 21.38, 110.0, 904.6, 0.112, 0.146, 0.152, 0.092, 0.2, 0.063, 0.807, 0.902, 5.455, 102.6, 0.006, 0.019, 0.027, 0.011, 0.015, 0.003, 26.46, 31.56, 177.0, 2215.0, 0.18, 0.358, 0.47, 0.21, 0.361, 0.096, M
16.78, 18.8, 109.3, 886.3, 0.089, 0.092, 0.084, 0.066, 0.189, 0.055, 0.599, 1.391, 4.129, 67.34, 0.006, 0.025, 0.026, 0.016, 0.021, 0.003, 20.05, 26.3, 130.7, 1260.0, 0.117, 0.212, 0.232, 0.147, 0.281, 0.072, M
14.19, 23.81, 92.87, 610.7, 0.095, 0.131, 0.112, 0.065, 0.224, 0.064, 0.421, 1.845, 3.534, 31.0, 0.011, 0.037, 0.037, 0.016, 0.045, 0.005, 16.86, 34.85, 115.0, 811.3, 0.156, 0.406, 0.374, 0.177, 0.472, 0.103, M
20.09, 23.86, 134.7, 1247.0, 0.108, 0.184, 0.228, 0.128, 0.225, 0.075, 1.072, 1.743, 7.804, 130.8, 0.008, 0.047, 0.076, 0.019, 0.027, 0.006, 23.68, 29.43, 158.8, 1696.0, 0.135, 0.339, 0.493, 0.192, 0.329, 0.095, M
12.83, 22.33, 85.26, 503.2, 0.109, 0.18, 0.17, 0.069, 0.212, 0.073, 0.306, 1.069, 2.257, 25.13, 0.007, 0.039, 0.047, 0.015, 0.017, 0.006, 15.2, 30.15, 105.3, 706.0, 0.178, 0.534, 0.628, 0.198, 0.341, 0.124, M
18.94, 21.31, 123.6, 1130.0, 0.09, 0.103, 0.108, 0.08, 0.158, 0.055, 0.789, 0.798, 5.486, 96.05, 0.004, 0.017, 0.023, 0.014, 0.014, 0.002, 24.86, 26.58, 165.9, 1866.0, 0.119, 0.234, 0.269, 0.179, 0.255, 0.066, M
18.05, 16.15, 120.2, 1006.0, 0.106, 0.215, 0.168, 0.108, 0.215, 0.067, 0.981, 0.55, 6.311, 134.8, 0.008, 0.058, 0.047, 0.021, 0.026, 0.007, 22.39, 18.91, 150.1, 1610.0, 0.148, 0.563, 0.379, 0.21, 0.375, 0.111, M
19.19, 15.94, 126.3, 1157.0, 0.087, 0.118, 0.119, 0.097, 0.174, 0.052, 1.0, 0.634, 6.971, 119.3, 0.009, 0.031, 0.043, 0.028, 0.032, 0.003, 22.03, 17.81, 146.6, 1495.0, 0.112, 0.202, 0.226, 0.178, 0.244, 0.063, M
15.46, 19.48, 101.7, 748.9, 0.109, 0.122, 0.147, 0.081, 0.193, 0.058, 0.474, 0.786, 3.094, 48.31, 0.006, 0.015, 0.028, 0.011, 0.014, 0.002, 19.26, 26.0, 124.9, 1156.0, 0.155, 0.239, 0.379, 0.151, 0.284, 0.08, M
25.73, 17.46, 174.2, 2010.0, 0.115, 0.236, 0.337, 0.191, 0.196, 0.061, 0.995, 0.851, 7.222, 153.1, 0.006, 0.042, 0.043, 0.015, 0.023, 0.003, 33.13, 23.58, 229.3, 3234.0, 0.153, 0.594, 0.645, 0.276, 0.369, 0.088, M
12.34, 26.86, 81.15, 477.4, 0.103, 0.135, 0.108, 0.046, 0.194, 0.069, 0.405, 1.809, 2.642, 34.44, 0.009, 0.038, 0.038, 0.013, 0.019, 0.006, 15.65, 39.34, 101.7, 768.9, 0.178, 0.471, 0.442, 0.146, 0.322, 0.12, M
15.22, 30.62, 103.4, 716.9, 0.105, 0.209, 0.255, 0.094, 0.213, 0.072, 0.26, 1.205, 2.362, 22.65, 0.005, 0.048, 0.074, 0.016, 0.021, 0.006, 17.52, 42.79, 128.7, 915.0, 0.142, 0.792, 1.17, 0.236, 0.409, 0.141, M
13.96, 17.05, 91.43, 602.4, 0.11, 0.128, 0.098, 0.052, 0.191, 0.061, 0.425, 0.81, 2.563, 35.74, 0.006, 0.027, 0.031, 0.013, 0.021, 0.003, 16.39, 22.07, 108.1, 826.0, 0.151, 0.326, 0.321, 0.137, 0.307, 0.08, M
11.54, 14.44, 74.65, 402.9, 0.1, 0.112, 0.067, 0.026, 0.182, 0.068, 0.278, 1.768, 1.628, 20.86, 0.012, 0.041, 0.056, 0.015, 0.018, 0.006, 12.26, 19.68, 78.78, 457.8, 0.134, 0.212, 0.18, 0.069, 0.233, 0.081, B
10.48, 19.86, 66.72, 337.7, 0.107, 0.06, 0.048, 0.031, 0.174, 0.064, 0.372, 2.612, 2.517, 23.22, 0.016, 0.014, 0.019, 0.011, 0.035, 0.004, 11.48, 29.46, 73.68, 402.8, 0.152, 0.103, 0.118, 0.067, 0.288, 0.077, B
11.63, 29.29, 74.87, 415.1, 0.094, 0.086, 0.072, 0.02, 0.18, 0.062, 0.314, 2.426, 2.15, 23.13, 0.01, 0.024, 0.043, 0.009, 0.025, 0.002, 13.12, 38.81, 86.04, 527.8, 0.141, 0.203, 0.292, 0.068, 0.288, 0.072, B
14.11, 12.88, 90.03, 616.5, 0.093, 0.053, 0.018, 0.027, 0.137, 0.057, 0.257, 1.081, 1.558, 23.92, 0.007, 0.011, 0.006, 0.007, 0.014, 0.002, 15.53, 18.0, 98.4, 749.9, 0.128, 0.111, 0.053, 0.059, 0.21, 0.071, B
11.7, 19.11, 74.33, 418.7, 0.088, 0.053, 0.016, 0.011, 0.194, 0.061, 0.16, 1.43, 1.109, 11.28, 0.006, 0.009, 0.01, 0.008, 0.023, 0.002, 12.61, 26.55, 80.92, 483.1, 0.122, 0.109, 0.079, 0.057, 0.349, 0.07, B
13.64, 16.34, 87.21, 571.8, 0.077, 0.061, 0.019, 0.017, 0.135, 0.06, 0.187, 0.923, 1.449, 14.55, 0.004, 0.012, 0.011, 0.008, 0.013, 0.003, 14.67, 23.19, 96.08, 656.7, 0.109, 0.158, 0.105, 0.086, 0.235, 0.08, B
12.19, 13.29, 79.08, 455.8, 0.107, 0.095, 0.029, 0.029, 0.188, 0.065, 0.2, 0.816, 1.973, 15.24, 0.007, 0.025, 0.01, 0.008, 0.027, 0.004, 13.34, 17.81, 91.38, 545.2, 0.143, 0.258, 0.099, 0.082, 0.347, 0.092, B
8.571, 13.1, 54.53, 221.3, 0.104, 0.076, 0.026, 0.015, 0.168, 0.071, 0.127, 0.679, 1.069, 7.254, 0.008, 0.018, 0.018, 0.007, 0.016, 0.004, 9.473, 18.45, 63.3, 275.6, 0.164, 0.224, 0.175, 0.085, 0.298, 0.105, B
11.3, 18.19, 73.93, 389.4, 0.096, 0.132, 0.155, 0.029, 0.205, 0.077, 0.243, 1.642, 2.369, 16.39, 0.007, 0.059, 0.089, 0.013, 0.02, 0.009, 12.58, 27.96, 87.16, 472.9, 0.135, 0.485, 0.744, 0.122, 0.331, 0.13, B
11.62, 18.18, 76.38, 408.8, 0.118, 0.148, 0.102, 0.056, 0.196, 0.073, 0.41, 1.74, 3.027, 27.85, 0.015, 0.032, 0.05, 0.018, 0.018, 0.005, 13.36, 25.4, 88.14, 528.1, 0.178, 0.288, 0.319, 0.142, 0.266, 0.093, B
14.47, 24.99, 95.81, 656.4, 0.088, 0.123, 0.101, 0.039, 0.187, 0.063, 0.254, 1.079, 2.615, 23.11, 0.007, 0.047, 0.038, 0.012, 0.021, 0.006, 16.22, 31.73, 113.5, 808.9, 0.134, 0.42, 0.404, 0.12, 0.319, 0.102, B
13.2, 15.82, 84.07, 537.3, 0.085, 0.053, 0.001, 0.003, 0.163, 0.059, 0.19, 0.574, 1.204, 15.5, 0.004, 0.008, 0.001, 0.002, 0.013, 0.003, 14.41, 20.45, 92.0, 636.9, 0.113, 0.135, 0.011, 0.025, 0.265, 0.084, B
9.755, 28.2, 61.68, 290.9, 0.08, 0.046, 0.015, 0.01, 0.162, 0.06, 0.178, 1.687, 1.243, 11.28, 0.007, 0.013, 0.014, 0.006, 0.016, 0.002, 10.67, 36.92, 68.03, 349.9, 0.111, 0.111, 0.072, 0.049, 0.232, 0.072, B
13.71, 18.68, 88.73, 571.0, 0.099, 0.107, 0.054, 0.038, 0.171, 0.068, 0.319, 1.249, 2.284, 26.45, 0.007, 0.023, 0.021, 0.014, 0.019, 0.004, 15.11, 25.63, 99.43, 701.9, 0.142, 0.257, 0.194, 0.128, 0.285, 0.09, B
