@relation   wdbc
@attribute Radius1 real[6.981,28.11]
@attribute Texture1 real[9.71,39.28]
@attribute Perimeter1 real[43.79,188.5]
@attribute Area1 real[143.5,2501.0]
@attribute Smoothness1 real[0.053,0.163]
@attribute Compactness1 real[0.019,0.345]
@attribute Concavity1 real[0.0,0.427]
@attribute Concave_points1 real[0.0,0.201]
@attribute Symmetry1 real[0.106,0.304]
@attribute Fractal_dimension1 real[0.05,0.097]
@attribute Radius2 real[0.112,2.873]
@attribute Texture2 real[0.36,4.885]
@attribute Perimeter2 real[0.757,21.98]
@attribute Area2 real[6.802,542.2]
@attribute Smoothness2 real[0.002,0.031]
@attribute Compactness2 real[0.002,0.135]
@attribute Concavity2 real[0.0,0.396]
@attribute Concave_points2 real[0.0,0.053]
@attribute Symmetry2 real[0.008,0.079]
@attribute Fractal_dimension2 real[0.001,0.03]
@attribute Radius3 real[7.93,36.04]
@attribute Texture3 real[12.02,49.54]
@attribute Perimeter3 real[50.41,251.2]
@attribute Area3 real[185.2,4254.0]
@attribute Smoothness3 real[0.071,0.223]
@attribute Compactness3 real[0.027,1.058]
@attribute Concavity3 real[0.0,1.252]
@attribute Concave_points3 real[0.0,0.291]
@attribute Symmetry3 real[0.156,0.664]
@attribute Fractal_dimension3 real[0.055,0.208]
@attribute Class{M,B}
@inputs Radius1,Texture1,Perimeter1,Area1,Smoothness1,Compactness1,Concavity1,Concave_points1,Symmetry1,Fractal_dimension1,Radius2,Texture2,Perimeter2,Area2,Smoothness2,Compactness2,Concavity2,Concave_points2,Symmetry2,Fractal_dimension2,Radius3,Texture3,Perimeter3,Area3,Smoothness3,Compactness3,Concavity3,Concave_points3,Symmetry3,Fractal_dimension3
@outputs Class
@data
17.3, 17.08, 113.0, 928.2, 0.101, 0.104, 0.127, 0.084, 0.181, 0.056, 0.309, 0.857, 2.193, 33.63, 0.005, 0.015, 0.023, 0.013, 0.014, 0.002, 19.85, 25.09, 130.9, 1222.0, 0.142, 0.24, 0.338, 0.186, 0.314, 0.081, M
15.78, 17.89, 103.6, 781.0, 0.097, 0.129, 0.1, 0.066, 0.184, 0.061, 0.506, 0.985, 3.564, 54.16, 0.006, 0.041, 0.028, 0.013, 0.02, 0.004, 20.42, 27.28, 136.5, 1299.0, 0.14, 0.561, 0.396, 0.181, 0.379, 0.105, M
18.49, 17.52, 121.3, 1068.0, 0.101, 0.132, 0.149, 0.092, 0.183, 0.067, 0.792, 1.045, 4.851, 95.77, 0.008, 0.032, 0.044, 0.016, 0.016, 0.005, 22.75, 22.88, 146.4, 1600.0, 0.141, 0.309, 0.353, 0.166, 0.251, 0.094, M
21.1, 20.52, 138.1, 1384.0, 0.097, 0.118, 0.157, 0.116, 0.155, 0.057, 0.664, 1.361, 4.542, 81.89, 0.005, 0.021, 0.032, 0.015, 0.01, 0.002, 25.68, 32.07, 168.2, 2022.0, 0.137, 0.31, 0.44, 0.228, 0.227, 0.074, M
16.25, 19.51, 109.8, 815.8, 0.103, 0.189, 0.224, 0.092, 0.215, 0.066, 0.315, 0.986, 3.07, 33.12, 0.009, 0.055, 0.081, 0.022, 0.028, 0.006, 17.39, 23.05, 122.1, 939.7, 0.138, 0.446, 0.59, 0.178, 0.332, 0.091, M
17.75, 28.03, 117.3, 981.6, 0.1, 0.131, 0.17, 0.083, 0.171, 0.059, 0.39, 1.077, 2.873, 43.95, 0.005, 0.02, 0.037, 0.011, 0.012, 0.003, 21.53, 38.54, 145.4, 1437.0, 0.14, 0.376, 0.64, 0.197, 0.297, 0.091, M
13.28, 20.28, 87.32, 545.2, 0.104, 0.144, 0.098, 0.062, 0.197, 0.068, 0.37, 0.825, 2.427, 31.33, 0.005, 0.021, 0.022, 0.01, 0.017, 0.003, 17.38, 28.0, 113.1, 907.2, 0.153, 0.372, 0.366, 0.149, 0.374, 0.103, M
14.54, 27.54, 96.73, 658.8, 0.114, 0.16, 0.164, 0.074, 0.23, 0.071, 0.37, 1.033, 2.879, 32.55, 0.006, 0.042, 0.047, 0.011, 0.019, 0.005, 17.46, 37.13, 124.1, 943.2, 0.168, 0.658, 0.703, 0.171, 0.422, 0.134, M
21.75, 20.99, 147.3, 1491.0, 0.094, 0.196, 0.22, 0.109, 0.172, 0.062, 1.167, 1.352, 8.867, 156.8, 0.006, 0.05, 0.063, 0.016, 0.019, 0.005, 28.19, 28.18, 195.9, 2384.0, 0.127, 0.472, 0.581, 0.184, 0.283, 0.089, M
18.22, 18.7, 120.3, 1033.0, 0.115, 0.148, 0.177, 0.106, 0.209, 0.063, 0.834, 1.593, 4.877, 98.81, 0.004, 0.03, 0.028, 0.009, 0.027, 0.005, 20.6, 24.13, 135.1, 1321.0, 0.128, 0.23, 0.262, 0.132, 0.302, 0.08, M
14.25, 21.72, 93.63, 633.0, 0.098, 0.11, 0.132, 0.056, 0.188, 0.061, 0.286, 1.019, 2.657, 24.91, 0.006, 0.03, 0.048, 0.012, 0.02, 0.004, 15.89, 30.36, 116.2, 799.6, 0.145, 0.424, 0.519, 0.145, 0.359, 0.101, M
19.69, 21.25, 130.0, 1203.0, 0.11, 0.16, 0.197, 0.128, 0.207, 0.06, 0.746, 0.787, 4.585, 94.03, 0.006, 0.04, 0.038, 0.021, 0.022, 0.005, 23.57, 25.53, 152.5, 1709.0, 0.144, 0.424, 0.45, 0.243, 0.361, 0.088, M
13.48, 20.82, 88.4, 559.2, 0.102, 0.126, 0.106, 0.054, 0.172, 0.064, 0.213, 0.591, 1.545, 18.52, 0.005, 0.022, 0.03, 0.013, 0.014, 0.003, 15.53, 26.02, 107.3, 740.4, 0.161, 0.422, 0.503, 0.226, 0.281, 0.107, M
20.44, 21.78, 133.8, 1293.0, 0.092, 0.113, 0.098, 0.078, 0.162, 0.056, 0.578, 0.917, 4.218, 72.44, 0.006, 0.019, 0.024, 0.015, 0.014, 0.002, 24.31, 26.37, 161.2, 1780.0, 0.133, 0.238, 0.27, 0.176, 0.261, 0.067, M
18.77, 21.43, 122.9, 1092.0, 0.091, 0.14, 0.106, 0.061, 0.195, 0.061, 0.642, 1.53, 4.369, 88.25, 0.008, 0.039, 0.039, 0.018, 0.022, 0.004, 24.54, 34.37, 161.1, 1873.0, 0.15, 0.483, 0.463, 0.205, 0.368, 0.099, M
19.89, 20.26, 130.5, 1214.0, 0.104, 0.131, 0.141, 0.094, 0.18, 0.062, 0.508, 0.874, 3.654, 59.7, 0.005, 0.023, 0.031, 0.012, 0.011, 0.003, 23.73, 25.23, 160.5, 1646.0, 0.142, 0.331, 0.418, 0.161, 0.255, 0.091, M
16.03, 15.51, 105.8, 793.2, 0.095, 0.137, 0.12, 0.07, 0.178, 0.06, 0.337, 0.748, 2.629, 33.27, 0.006, 0.032, 0.037, 0.015, 0.015, 0.003, 18.76, 21.98, 124.3, 1070.0, 0.144, 0.448, 0.496, 0.198, 0.302, 0.091, M
23.09, 19.83, 152.1, 1682.0, 0.093, 0.128, 0.168, 0.1, 0.15, 0.055, 1.291, 0.745, 9.635, 180.2, 0.006, 0.034, 0.04, 0.022, 0.022, 0.003, 30.79, 23.87, 211.5, 2782.0, 0.12, 0.362, 0.379, 0.226, 0.291, 0.073, M
11.42, 20.38, 77.58, 386.1, 0.142, 0.284, 0.241, 0.105, 0.26, 0.097, 0.496, 1.156, 3.445, 27.23, 0.009, 0.075, 0.057, 0.019, 0.06, 0.009, 14.91, 26.5, 98.87, 567.7, 0.21, 0.866, 0.687, 0.258, 0.664, 0.173, M
16.16, 21.54, 106.2, 809.8, 0.101, 0.128, 0.104, 0.056, 0.216, 0.059, 0.433, 1.265, 2.844, 43.68, 0.005, 0.02, 0.022, 0.009, 0.015, 0.002, 19.47, 31.68, 129.7, 1175.0, 0.14, 0.306, 0.299, 0.131, 0.348, 0.076, M
19.59, 25.0, 127.7, 1191.0, 0.103, 0.099, 0.166, 0.091, 0.166, 0.054, 0.467, 1.375, 2.916, 56.18, 0.012, 0.019, 0.049, 0.015, 0.016, 0.002, 21.44, 30.96, 139.8, 1421.0, 0.153, 0.184, 0.398, 0.147, 0.229, 0.061, M
11.14, 14.07, 71.24, 384.6, 0.073, 0.061, 0.045, 0.015, 0.169, 0.061, 0.422, 0.809, 3.33, 28.84, 0.006, 0.034, 0.045, 0.015, 0.031, 0.005, 12.12, 15.82, 79.62, 453.5, 0.089, 0.126, 0.12, 0.039, 0.258, 0.07, B
