@relation   wdbc
@attribute Radius1 real[6.981,28.11]
@attribute Texture1 real[9.71,39.28]
@attribute Perimeter1 real[43.79,188.5]
@attribute Area1 real[143.5,2501.0]
@attribute Smoothness1 real[0.053,0.163]
@attribute Compactness1 real[0.019,0.345]
@attribute Concavity1 real[0.0,0.427]
@attribute Concave_points1 real[0.0,0.201]
@attribute Symmetry1 real[0.106,0.304]
@attribute Fractal_dimension1 real[0.05,0.097]
@attribute Radius2 real[0.112,2.873]
@attribute Texture2 real[0.36,4.885]
@attribute Perimeter2 real[0.757,21.98]
@attribute Area2 real[6.802,542.2]
@attribute Smoothness2 real[0.002,0.031]
@attribute Compactness2 real[0.002,0.135]
@attribute Concavity2 real[0.0,0.396]
@attribute Concave_points2 real[0.0,0.053]
@attribute Symmetry2 real[0.008,0.079]
@attribute Fractal_dimension2 real[0.001,0.03]
@attribute Radius3 real[7.93,36.04]
@attribute Texture3 real[12.02,49.54]
@attribute Perimeter3 real[50.41,251.2]
@attribute Area3 real[185.2,4254.0]
@attribute Smoothness3 real[0.071,0.223]
@attribute Compactness3 real[0.027,1.058]
@attribute Concavity3 real[0.0,1.252]
@attribute Concave_points3 real[0.0,0.291]
@attribute Symmetry3 real[0.156,0.664]
@attribute Fractal_dimension3 real[0.055,0.208]
@attribute Class{M,B}
@inputs Radius1,Texture1,Perimeter1,Area1,Smoothness1,Compactness1,Concavity1,Concave_points1,Symmetry1,Fractal_dimension1,Radius2,Texture2,Perimeter2,Area2,Smoothness2,Compactness2,Concavity2,Concave_points2,Symmetry2,Fractal_dimension2,Radius3,Texture3,Perimeter3,Area3,Smoothness3,Compactness3,Concavity3,Concave_points3,Symmetry3,Fractal_dimension3
@outputs Class
@data
17.35, 23.06, 111.0, 933.1, 0.087, 0.063, 0.029, 0.028, 0.156, 0.053, 0.401, 1.317, 2.577, 44.41, 0.006, 0.011, 0.012, 0.008, 0.014, 0.002, 19.85, 31.47, 128.2, 1218.0, 0.124, 0.149, 0.121, 0.082, 0.245, 0.065, M
15.3, 25.27, 102.4, 732.4, 0.108, 0.17, 0.168, 0.088, 0.193, 0.065, 0.439, 1.012, 3.498, 43.5, 0.005, 0.031, 0.036, 0.011, 0.018, 0.003, 20.27, 36.71, 149.3, 1269.0, 0.164, 0.611, 0.634, 0.202, 0.403, 0.099, M
18.45, 21.91, 120.2, 1075.0, 0.094, 0.097, 0.115, 0.068, 0.169, 0.057, 0.596, 1.202, 3.766, 68.35, 0.006, 0.014, 0.029, 0.009, 0.015, 0.002, 22.52, 31.39, 145.6, 1590.0, 0.146, 0.228, 0.396, 0.138, 0.311, 0.076, M
20.94, 23.56, 138.9, 1364.0, 0.101, 0.161, 0.271, 0.131, 0.22, 0.059, 1.004, 0.821, 6.372, 137.9, 0.005, 0.039, 0.095, 0.019, 0.024, 0.005, 25.58, 27.0, 165.3, 2010.0, 0.121, 0.317, 0.699, 0.21, 0.313, 0.078, M
15.61, 19.38, 100.0, 758.6, 0.078, 0.056, 0.042, 0.028, 0.155, 0.054, 0.23, 0.999, 1.534, 22.18, 0.003, 0.009, 0.013, 0.005, 0.01, 0.001, 17.91, 31.67, 115.9, 988.6, 0.108, 0.181, 0.226, 0.086, 0.268, 0.068, M
18.31, 18.58, 118.6, 1041.0, 0.086, 0.085, 0.082, 0.058, 0.162, 0.054, 0.258, 0.476, 1.817, 28.92, 0.003, 0.009, 0.014, 0.007, 0.011, 0.001, 21.31, 26.36, 139.2, 1410.0, 0.123, 0.244, 0.354, 0.157, 0.321, 0.069, M
13.71, 20.83, 90.2, 577.9, 0.119, 0.164, 0.094, 0.06, 0.22, 0.075, 0.584, 1.377, 3.856, 50.96, 0.009, 0.03, 0.025, 0.014, 0.015, 0.005, 17.06, 28.14, 110.6, 897.0, 0.165, 0.368, 0.268, 0.156, 0.32, 0.115, M
13.43, 19.63, 85.84, 565.4, 0.09, 0.063, 0.059, 0.034, 0.16, 0.057, 0.47, 1.147, 3.142, 43.4, 0.006, 0.011, 0.022, 0.009, 0.015, 0.002, 17.98, 29.87, 116.6, 993.6, 0.14, 0.155, 0.264, 0.116, 0.288, 0.074, M
19.59, 18.15, 130.7, 1214.0, 0.112, 0.167, 0.251, 0.129, 0.203, 0.061, 0.736, 1.048, 4.792, 97.07, 0.004, 0.023, 0.04, 0.013, 0.017, 0.003, 26.73, 26.39, 174.9, 2232.0, 0.144, 0.385, 0.681, 0.225, 0.364, 0.092, M
18.03, 16.85, 117.5, 990.0, 0.089, 0.123, 0.109, 0.063, 0.172, 0.058, 0.299, 0.591, 1.921, 35.77, 0.004, 0.016, 0.03, 0.01, 0.013, 0.002, 20.38, 22.02, 133.3, 1292.0, 0.126, 0.267, 0.429, 0.154, 0.284, 0.082, M
14.48, 21.46, 94.25, 648.2, 0.094, 0.099, 0.12, 0.049, 0.208, 0.056, 0.42, 2.22, 3.301, 38.87, 0.009, 0.03, 0.054, 0.018, 0.024, 0.003, 16.21, 29.25, 108.4, 808.9, 0.131, 0.198, 0.335, 0.122, 0.302, 0.068, M
19.18, 22.49, 127.5, 1148.0, 0.085, 0.143, 0.111, 0.068, 0.177, 0.055, 0.436, 1.073, 3.833, 54.22, 0.006, 0.037, 0.027, 0.012, 0.014, 0.003, 23.36, 32.06, 166.4, 1688.0, 0.132, 0.56, 0.386, 0.171, 0.319, 0.092, M
13.73, 22.61, 93.6, 578.3, 0.113, 0.229, 0.213, 0.08, 0.207, 0.077, 0.212, 1.169, 2.061, 19.21, 0.006, 0.059, 0.055, 0.016, 0.02, 0.008, 15.03, 32.01, 108.8, 697.7, 0.165, 0.772, 0.694, 0.221, 0.36, 0.143, M
20.6, 29.33, 140.1, 1265.0, 0.118, 0.277, 0.351, 0.152, 0.24, 0.07, 0.726, 1.595, 5.772, 86.22, 0.007, 0.062, 0.071, 0.017, 0.023, 0.006, 25.74, 39.42, 184.6, 1821.0, 0.165, 0.868, 0.939, 0.265, 0.409, 0.124, M
19.73, 19.82, 130.7, 1206.0, 0.106, 0.185, 0.242, 0.097, 0.173, 0.067, 0.766, 0.78, 4.115, 92.81, 0.008, 0.051, 0.068, 0.02, 0.015, 0.007, 25.28, 25.59, 159.8, 1933.0, 0.171, 0.596, 0.849, 0.251, 0.275, 0.13, M
20.18, 23.97, 143.7, 1245.0, 0.129, 0.345, 0.375, 0.16, 0.291, 0.081, 0.932, 1.885, 8.649, 116.4, 0.01, 0.068, 0.109, 0.026, 0.079, 0.006, 23.37, 31.72, 170.3, 1623.0, 0.164, 0.616, 0.768, 0.251, 0.544, 0.1, M
14.87, 16.67, 98.64, 682.5, 0.116, 0.165, 0.169, 0.089, 0.216, 0.068, 0.427, 0.949, 2.989, 41.18, 0.007, 0.026, 0.03, 0.013, 0.016, 0.004, 18.81, 27.37, 127.1, 1095.0, 0.188, 0.448, 0.47, 0.203, 0.358, 0.106, M
23.51, 24.27, 155.1, 1747.0, 0.107, 0.128, 0.231, 0.141, 0.18, 0.055, 1.009, 0.924, 6.462, 164.1, 0.006, 0.02, 0.036, 0.013, 0.015, 0.003, 30.67, 30.73, 202.4, 2906.0, 0.152, 0.268, 0.482, 0.209, 0.259, 0.077, M
10.95, 21.35, 71.9, 371.1, 0.123, 0.122, 0.104, 0.057, 0.19, 0.069, 0.237, 1.428, 1.822, 16.97, 0.008, 0.018, 0.026, 0.01, 0.014, 0.003, 12.84, 35.34, 87.22, 514.0, 0.191, 0.27, 0.402, 0.142, 0.296, 0.096, M
