@relation   wdbc
@attribute Radius1 real[6.981,28.11]
@attribute Texture1 real[9.71,39.28]
@attribute Perimeter1 real[43.79,188.5]
@attribute Area1 real[143.5,2501.0]
@attribute Smoothness1 real[0.053,0.163]
@attribute Compactness1 real[0.019,0.345]
@attribute Concavity1 real[0.0,0.427]
@attribute Concave_points1 real[0.0,0.201]
@attribute Symmetry1 real[0.106,0.304]
@attribute Fractal_dimension1 real[0.05,0.097]
@attribute Radius2 real[0.112,2.873]
@attribute Texture2 real[0.36,4.885]
@attribute Perimeter2 real[0.757,21.98]
@attribute Area2 real[6.802,542.2]
@attribute Smoothness2 real[0.002,0.031]
@attribute Compactness2 real[0.002,0.135]
@attribute Concavity2 real[0.0,0.396]
@attribute Concave_points2 real[0.0,0.053]
@attribute Symmetry2 real[0.008,0.079]
@attribute Fractal_dimension2 real[0.001,0.03]
@attribute Radius3 real[7.93,36.04]
@attribute Texture3 real[12.02,49.54]
@attribute Perimeter3 real[50.41,251.2]
@attribute Area3 real[185.2,4254.0]
@attribute Smoothness3 real[0.071,0.223]
@attribute Compactness3 real[0.027,1.058]
@attribute Concavity3 real[0.0,1.252]
@attribute Concave_points3 real[0.0,0.291]
@attribute Symmetry3 real[0.156,0.664]
@attribute Fractal_dimension3 real[0.055,0.208]
@attribute Class{M,B}
@inputs Radius1,Texture1,Perimeter1,Area1,Smoothness1,Compactness1,Concavity1,Concave_points1,Symmetry1,Fractal_dimension1,Radius2,Texture2,Perimeter2,Area2,Smoothness2,Compactness2,Concavity2,Concave_points2,Symmetry2,Fractal_dimension2,Radius3,Texture3,Perimeter3,Area3,Smoothness3,Compactness3,Concavity3,Concave_points3,Symmetry3,Fractal_dimension3
@outputs Class
@data
17.54, 19.32, 115.1, 951.6, 0.09, 0.12, 0.104, 0.075, 0.151, 0.055, 0.397, 0.828, 3.088, 40.73, 0.006, 0.026, 0.027, 0.013, 0.016, 0.003, 20.42, 25.84, 139.5, 1239.0, 0.138, 0.342, 0.351, 0.194, 0.293, 0.079, M
16.13, 20.68, 108.1, 798.8, 0.117, 0.202, 0.172, 0.103, 0.216, 0.074, 0.569, 1.073, 3.854, 54.18, 0.007, 0.025, 0.032, 0.013, 0.017, 0.004, 20.96, 31.48, 136.8, 1315.0, 0.179, 0.423, 0.478, 0.207, 0.371, 0.114, M
18.46, 18.52, 121.1, 1075.0, 0.099, 0.105, 0.134, 0.088, 0.213, 0.06, 0.7, 1.475, 4.782, 80.6, 0.006, 0.016, 0.028, 0.014, 0.024, 0.004, 22.93, 27.68, 152.2, 1603.0, 0.14, 0.209, 0.316, 0.164, 0.37, 0.086, M
21.09, 26.57, 142.7, 1311.0, 0.114, 0.283, 0.249, 0.15, 0.24, 0.074, 0.63, 0.763, 4.414, 81.46, 0.004, 0.048, 0.039, 0.016, 0.018, 0.005, 26.68, 33.48, 176.5, 2089.0, 0.149, 0.758, 0.678, 0.29, 0.41, 0.128, M
16.46, 20.11, 109.3, 832.9, 0.098, 0.156, 0.179, 0.089, 0.179, 0.063, 0.304, 1.284, 2.482, 31.59, 0.007, 0.041, 0.054, 0.018, 0.017, 0.005, 17.79, 28.45, 123.5, 981.2, 0.142, 0.467, 0.586, 0.204, 0.305, 0.095, M
17.6, 23.33, 119.0, 980.5, 0.093, 0.2, 0.214, 0.1, 0.17, 0.074, 0.929, 1.465, 5.801, 104.9, 0.007, 0.07, 0.066, 0.023, 0.017, 0.011, 21.57, 28.87, 143.6, 1437.0, 0.121, 0.478, 0.516, 0.2, 0.23, 0.122, M
12.68, 23.84, 82.69, 499.0, 0.112, 0.126, 0.113, 0.069, 0.19, 0.066, 0.426, 1.178, 2.927, 36.46, 0.008, 0.026, 0.03, 0.013, 0.016, 0.004, 17.09, 33.47, 111.8, 888.3, 0.185, 0.406, 0.402, 0.172, 0.338, 0.103, M
14.25, 22.15, 96.42, 645.7, 0.105, 0.201, 0.214, 0.087, 0.195, 0.073, 0.704, 1.268, 5.373, 60.78, 0.009, 0.071, 0.069, 0.018, 0.017, 0.006, 17.67, 29.51, 119.1, 959.5, 0.164, 0.625, 0.692, 0.178, 0.284, 0.113, M
19.53, 32.47, 128.0, 1223.0, 0.084, 0.113, 0.114, 0.066, 0.143, 0.053, 0.739, 1.321, 4.722, 109.9, 0.006, 0.026, 0.027, 0.011, 0.013, 0.002, 27.9, 45.41, 180.2, 2477.0, 0.141, 0.41, 0.4, 0.162, 0.271, 0.076, M
17.91, 21.02, 124.4, 994.0, 0.123, 0.258, 0.319, 0.12, 0.211, 0.071, 0.403, 0.775, 3.123, 41.51, 0.007, 0.037, 0.062, 0.011, 0.016, 0.005, 20.8, 27.78, 149.6, 1304.0, 0.187, 0.592, 0.903, 0.196, 0.324, 0.12, M
14.6, 23.29, 93.97, 664.7, 0.087, 0.066, 0.084, 0.053, 0.163, 0.054, 0.416, 1.627, 2.914, 33.01, 0.008, 0.017, 0.034, 0.016, 0.017, 0.003, 15.79, 31.71, 102.2, 758.2, 0.131, 0.158, 0.268, 0.136, 0.248, 0.068, M
19.16, 26.6, 126.2, 1138.0, 0.102, 0.145, 0.192, 0.097, 0.19, 0.062, 0.636, 1.001, 4.321, 69.65, 0.007, 0.024, 0.04, 0.013, 0.014, 0.003, 23.72, 35.9, 159.8, 1724.0, 0.178, 0.384, 0.575, 0.187, 0.326, 0.097, M
13.86, 16.93, 90.96, 578.9, 0.103, 0.152, 0.099, 0.056, 0.211, 0.069, 0.256, 1.194, 1.933, 22.69, 0.006, 0.034, 0.039, 0.014, 0.019, 0.005, 15.75, 26.93, 104.4, 750.1, 0.146, 0.437, 0.464, 0.165, 0.363, 0.106, M
