@relation   wdbc
@attribute Radius1 real[6.981,28.11]
@attribute Texture1 real[9.71,39.28]
@attribute Perimeter1 real[43.79,188.5]
@attribute Area1 real[143.5,2501.0]
@attribute Smoothness1 real[0.053,0.163]
@attribute Compactness1 real[0.019,0.345]
@attribute Concavity1 real[0.0,0.427]
@attribute Concave_points1 real[0.0,0.201]
@attribute Symmetry1 real[0.106,0.304]
@attribute Fractal_dimension1 real[0.05,0.097]
@attribute Radius2 real[0.112,2.873]
@attribute Texture2 real[0.36,4.885]
@attribute Perimeter2 real[0.757,21.98]
@attribute Area2 real[6.802,542.2]
@attribute Smoothness2 real[0.002,0.031]
@attribute Compactness2 real[0.002,0.135]
@attribute Concavity2 real[0.0,0.396]
@attribute Concave_points2 real[0.0,0.053]
@attribute Symmetry2 real[0.008,0.079]
@attribute Fractal_dimension2 real[0.001,0.03]
@attribute Radius3 real[7.93,36.04]
@attribute Texture3 real[12.02,49.54]
@attribute Perimeter3 real[50.41,251.2]
@attribute Area3 real[185.2,4254.0]
@attribute Smoothness3 real[0.071,0.223]
@attribute Compactness3 real[0.027,1.058]
@attribute Concavity3 real[0.0,1.252]
@attribute Concave_points3 real[0.0,0.291]
@attribute Symmetry3 real[0.156,0.664]
@attribute Fractal_dimension3 real[0.055,0.208]
@attribute Class{M,B}
@inputs Radius1,Texture1,Perimeter1,Area1,Smoothness1,Compactness1,Concavity1,Concave_points1,Symmetry1,Fractal_dimension1,Radius2,Texture2,Perimeter2,Area2,Smoothness2,Compactness2,Concavity2,Concave_points2,Symmetry2,Fractal_dimension2,Radius3,Texture3,Perimeter3,Area3,Smoothness3,Compactness3,Concavity3,Concave_points3,Symmetry3,Fractal_dimension3
@outputs Class
@data
18.08, 21.84, 117.4, 1024.0, 0.074, 0.086, 0.11, 0.058, 0.177, 0.053, 0.636, 1.305, 4.312, 76.36, 0.006, 0.053, 0.061, 0.014, 0.021, 0.005, 19.76, 24.7, 129.1, 1228.0, 0.088, 0.196, 0.254, 0.092, 0.237, 0.066, M
15.7, 20.31, 101.2, 766.6, 0.096, 0.088, 0.066, 0.052, 0.162, 0.055, 0.37, 1.15, 2.406, 40.98, 0.005, 0.023, 0.02, 0.01, 0.015, 0.002, 20.11, 32.82, 129.3, 1269.0, 0.141, 0.355, 0.29, 0.154, 0.344, 0.086, M
18.25, 19.98, 119.6, 1040.0, 0.095, 0.109, 0.113, 0.074, 0.179, 0.057, 0.447, 0.773, 3.18, 53.91, 0.004, 0.014, 0.023, 0.01, 0.014, 0.002, 22.88, 27.66, 153.2, 1606.0, 0.144, 0.258, 0.378, 0.193, 0.306, 0.084, M
21.56, 22.39, 142.0, 1479.0, 0.111, 0.116, 0.244, 0.139, 0.173, 0.056, 1.176, 1.256, 7.673, 158.7, 0.01, 0.029, 0.052, 0.025, 0.011, 0.004, 25.45, 26.4, 166.1, 2027.0, 0.141, 0.211, 0.411, 0.222, 0.206, 0.071, M
16.24, 18.77, 108.8, 805.1, 0.107, 0.18, 0.195, 0.091, 0.188, 0.067, 0.287, 0.917, 2.464, 28.09, 0.005, 0.035, 0.039, 0.012, 0.014, 0.004, 18.55, 25.09, 126.9, 1031.0, 0.136, 0.471, 0.503, 0.173, 0.277, 0.106, M
17.19, 22.07, 111.6, 928.3, 0.097, 0.09, 0.091, 0.065, 0.187, 0.056, 0.42, 0.738, 2.819, 45.42, 0.004, 0.012, 0.02, 0.01, 0.011, 0.002, 21.58, 29.33, 140.5, 1436.0, 0.156, 0.257, 0.389, 0.198, 0.322, 0.076, M
13.61, 24.98, 88.05, 582.7, 0.095, 0.085, 0.086, 0.045, 0.161, 0.059, 0.456, 1.29, 2.861, 43.14, 0.006, 0.015, 0.026, 0.01, 0.015, 0.002, 16.99, 35.27, 108.6, 906.5, 0.126, 0.194, 0.317, 0.118, 0.265, 0.074, M
14.78, 23.94, 97.4, 668.3, 0.117, 0.148, 0.127, 0.09, 0.195, 0.067, 0.358, 1.281, 2.45, 35.24, 0.007, 0.023, 0.023, 0.012, 0.019, 0.003, 17.31, 33.39, 114.6, 925.1, 0.165, 0.342, 0.302, 0.161, 0.332, 0.089, M
22.27, 19.67, 152.8, 1509.0, 0.133, 0.277, 0.426, 0.182, 0.256, 0.07, 1.215, 1.545, 10.05, 170.0, 0.007, 0.087, 0.104, 0.025, 0.031, 0.005, 28.4, 28.01, 206.8, 2360.0, 0.17, 0.7, 0.961, 0.291, 0.406, 0.098, M
17.68, 20.74, 117.4, 963.7, 0.112, 0.166, 0.186, 0.105, 0.197, 0.062, 0.811, 1.4, 5.54, 93.91, 0.009, 0.05, 0.052, 0.018, 0.018, 0.005, 20.47, 25.11, 132.9, 1302.0, 0.142, 0.35, 0.358, 0.152, 0.246, 0.077, M
13.82, 24.49, 92.33, 595.9, 0.116, 0.168, 0.136, 0.068, 0.228, 0.072, 0.475, 1.528, 2.974, 39.05, 0.01, 0.039, 0.035, 0.016, 0.024, 0.007, 16.01, 32.94, 106.0, 788.0, 0.179, 0.397, 0.338, 0.152, 0.365, 0.118, M
20.13, 28.25, 131.2, 1261.0, 0.098, 0.103, 0.144, 0.098, 0.175, 0.055, 0.766, 2.463, 5.203, 99.04, 0.006, 0.024, 0.04, 0.017, 0.019, 0.002, 23.69, 38.25, 155.0, 1731.0, 0.117, 0.192, 0.322, 0.163, 0.257, 0.066, M
13.17, 21.81, 85.42, 531.5, 0.097, 0.105, 0.083, 0.053, 0.175, 0.062, 0.194, 0.612, 1.334, 14.49, 0.003, 0.014, 0.015, 0.007, 0.011, 0.002, 16.23, 29.89, 105.5, 740.7, 0.15, 0.39, 0.373, 0.161, 0.369, 0.096, M
20.31, 27.06, 132.9, 1288.0, 0.1, 0.109, 0.152, 0.093, 0.181, 0.056, 0.398, 1.033, 2.587, 52.34, 0.005, 0.016, 0.021, 0.008, 0.013, 0.002, 24.33, 39.16, 162.3, 1844.0, 0.152, 0.294, 0.379, 0.17, 0.315, 0.08, M
