@relation   wdbc
@attribute Radius1 real[6.981,28.11]
@attribute Texture1 real[9.71,39.28]
@attribute Perimeter1 real[43.79,188.5]
@attribute Area1 real[143.5,2501.0]
@attribute Smoothness1 real[0.053,0.163]
@attribute Compactness1 real[0.019,0.345]
@attribute Concavity1 real[0.0,0.427]
@attribute Concave_points1 real[0.0,0.201]
@attribute Symmetry1 real[0.106,0.304]
@attribute Fractal_dimension1 real[0.05,0.097]
@attribute Radius2 real[0.112,2.873]
@attribute Texture2 real[0.36,4.885]
@attribute Perimeter2 real[0.757,21.98]
@attribute Area2 real[6.802,542.2]
@attribute Smoothness2 real[0.002,0.031]
@attribute Compactness2 real[0.002,0.135]
@attribute Concavity2 real[0.0,0.396]
@attribute Concave_points2 real[0.0,0.053]
@attribute Symmetry2 real[0.008,0.079]
@attribute Fractal_dimension2 real[0.001,0.03]
@attribute Radius3 real[7.93,36.04]
@attribute Texture3 real[12.02,49.54]
@attribute Perimeter3 real[50.41,251.2]
@attribute Area3 real[185.2,4254.0]
@attribute Smoothness3 real[0.071,0.223]
@attribute Compactness3 real[0.027,1.058]
@attribute Concavity3 real[0.0,1.252]
@attribute Concave_points3 real[0.0,0.291]
@attribute Symmetry3 real[0.156,0.664]
@attribute Fractal_dimension3 real[0.055,0.208]
@attribute Class{M,B}
@inputs Radius1,Texture1,Perimeter1,Area1,Smoothness1,Compactness1,Concavity1,Concave_points1,Symmetry1,Fractal_dimension1,Radius2,Texture2,Perimeter2,Area2,Smoothness2,Compactness2,Concavity2,Concave_points2,Symmetry2,Fractal_dimension2,Radius3,Texture3,Perimeter3,Area3,Smoothness3,Compactness3,Concavity3,Concave_points3,Symmetry3,Fractal_dimension3
@outputs Class
@data
17.01, 20.26, 109.7, 904.3, 0.088, 0.073, 0.07, 0.054, 0.203, 0.052, 0.586, 0.855, 4.106, 68.46, 0.005, 0.015, 0.019, 0.011, 0.023, 0.003, 19.8, 25.05, 130.0, 1210.0, 0.111, 0.149, 0.193, 0.11, 0.328, 0.065, M
17.02, 23.98, 112.8, 899.3, 0.12, 0.15, 0.242, 0.12, 0.225, 0.064, 0.601, 1.398, 3.999, 67.78, 0.008, 0.031, 0.05, 0.011, 0.021, 0.004, 20.88, 32.09, 136.1, 1344.0, 0.163, 0.356, 0.559, 0.185, 0.353, 0.085, M
18.82, 21.97, 123.7, 1110.0, 0.102, 0.139, 0.159, 0.087, 0.194, 0.061, 0.819, 1.931, 4.493, 103.9, 0.008, 0.041, 0.053, 0.018, 0.024, 0.005, 22.66, 30.93, 145.3, 1603.0, 0.139, 0.346, 0.391, 0.171, 0.301, 0.083, M
19.53, 18.9, 129.5, 1217.0, 0.115, 0.164, 0.22, 0.106, 0.179, 0.066, 1.111, 1.161, 7.237, 133.0, 0.006, 0.032, 0.056, 0.017, 0.019, 0.005, 25.93, 26.24, 171.1, 2053.0, 0.15, 0.412, 0.612, 0.198, 0.297, 0.099, M
15.28, 22.41, 98.92, 710.6, 0.091, 0.105, 0.054, 0.033, 0.173, 0.063, 0.205, 0.496, 1.344, 19.53, 0.003, 0.014, 0.018, 0.006, 0.012, 0.003, 17.8, 28.03, 113.8, 973.1, 0.13, 0.33, 0.363, 0.123, 0.318, 0.098, M
18.22, 18.87, 118.7, 1027.0, 0.097, 0.112, 0.113, 0.08, 0.181, 0.057, 0.404, 0.55, 2.547, 48.9, 0.005, 0.017, 0.024, 0.011, 0.013, 0.002, 21.84, 25.0, 140.9, 1485.0, 0.143, 0.276, 0.385, 0.178, 0.281, 0.082, M
13.4, 20.52, 88.64, 556.7, 0.111, 0.147, 0.144, 0.082, 0.212, 0.073, 0.391, 0.931, 3.093, 33.67, 0.005, 0.023, 0.035, 0.013, 0.017, 0.004, 16.41, 29.66, 113.3, 844.4, 0.157, 0.386, 0.511, 0.205, 0.358, 0.111, M
14.45, 20.22, 94.49, 642.7, 0.099, 0.121, 0.118, 0.06, 0.195, 0.065, 0.209, 0.651, 1.446, 19.42, 0.004, 0.016, 0.02, 0.007, 0.015, 0.002, 18.33, 30.12, 117.9, 1044.0, 0.155, 0.406, 0.497, 0.184, 0.475, 0.101, M
23.27, 22.04, 152.1, 1686.0, 0.084, 0.114, 0.132, 0.097, 0.18, 0.056, 0.664, 0.856, 4.603, 97.85, 0.005, 0.025, 0.028, 0.016, 0.02, 0.004, 28.01, 28.22, 184.2, 2403.0, 0.123, 0.358, 0.395, 0.235, 0.359, 0.092, M
19.17, 24.8, 132.4, 1123.0, 0.097, 0.246, 0.206, 0.112, 0.24, 0.078, 0.956, 3.568, 11.07, 116.2, 0.003, 0.083, 0.089, 0.041, 0.045, 0.013, 20.96, 29.94, 151.7, 1332.0, 0.104, 0.39, 0.364, 0.177, 0.318, 0.102, M
