@relation   wdbc
@attribute Radius1 real[6.981,28.11]
@attribute Texture1 real[9.71,39.28]
@attribute Perimeter1 real[43.79,188.5]
@attribute Area1 real[143.5,2501.0]
@attribute Smoothness1 real[0.053,0.163]
@attribute Compactness1 real[0.019,0.345]
@attribute Concavity1 real[0.0,0.427]
@attribute Concave_points1 real[0.0,0.201]
@attribute Symmetry1 real[0.106,0.304]
@attribute Fractal_dimension1 real[0.05,0.097]
@attribute Radius2 real[0.112,2.873]
@attribute Texture2 real[0.36,4.885]
@attribute Perimeter2 real[0.757,21.98]
@attribute Area2 real[6.802,542.2]
@attribute Smoothness2 real[0.002,0.031]
@attribute Compactness2 real[0.002,0.135]
@attribute Concavity2 real[0.0,0.396]
@attribute Concave_points2 real[0.0,0.053]
@attribute Symmetry2 real[0.008,0.079]
@attribute Fractal_dimension2 real[0.001,0.03]
@attribute Radius3 real[7.93,36.04]
@attribute Texture3 real[12.02,49.54]
@attribute Perimeter3 real[50.41,251.2]
@attribute Area3 real[185.2,4254.0]
@attribute Smoothness3 real[0.071,0.223]
@attribute Compactness3 real[0.027,1.058]
@attribute Concavity3 real[0.0,1.252]
@attribute Concave_points3 real[0.0,0.291]
@attribute Symmetry3 real[0.156,0.664]
@attribute Fractal_dimension3 real[0.055,0.208]
@attribute Class{M,B}
@inputs Radius1,Texture1,Perimeter1,Area1,Smoothness1,Compactness1,Concavity1,Concave_points1,Symmetry1,Fractal_dimension1,Radius2,Texture2,Perimeter2,Area2,Smoothness2,Compactness2,Concavity2,Concave_points2,Symmetry2,Fractal_dimension2,Radius3,Texture3,Perimeter3,Area3,Smoothness3,Compactness3,Concavity3,Concave_points3,Symmetry3,Fractal_dimension3
@outputs Class
@data
16.74, 21.59, 110.1, 869.5, 0.096, 0.134, 0.135, 0.06, 0.19, 0.057, 0.462, 0.92, 3.008, 45.19, 0.006, 0.025, 0.037, 0.012, 0.028, 0.003, 20.01, 29.02, 133.5, 1229.0, 0.156, 0.384, 0.541, 0.181, 0.486, 0.086, M
17.06, 21.0, 111.8, 918.6, 0.112, 0.106, 0.151, 0.099, 0.173, 0.061, 0.816, 2.129, 6.076, 87.17, 0.006, 0.018, 0.045, 0.017, 0.018, 0.004, 20.99, 33.15, 143.2, 1362.0, 0.145, 0.205, 0.392, 0.183, 0.262, 0.076, M
19.07, 24.81, 128.3, 1104.0, 0.091, 0.219, 0.211, 0.1, 0.231, 0.063, 0.981, 1.666, 8.83, 104.9, 0.007, 0.101, 0.097, 0.026, 0.053, 0.008, 24.09, 33.17, 177.4, 1651.0, 0.125, 0.744, 0.724, 0.249, 0.467, 0.104, M
20.64, 17.35, 134.8, 1335.0, 0.094, 0.108, 0.153, 0.089, 0.157, 0.055, 0.614, 0.658, 4.119, 77.02, 0.006, 0.019, 0.027, 0.012, 0.013, 0.002, 25.37, 23.17, 166.8, 1946.0, 0.156, 0.306, 0.416, 0.211, 0.269, 0.071, M
15.12, 16.68, 98.78, 716.6, 0.089, 0.096, 0.076, 0.041, 0.159, 0.06, 0.271, 0.362, 1.974, 26.44, 0.005, 0.019, 0.02, 0.008, 0.015, 0.003, 17.77, 20.24, 117.7, 989.5, 0.149, 0.333, 0.333, 0.125, 0.342, 0.097, M
18.61, 20.25, 122.1, 1094.0, 0.094, 0.107, 0.149, 0.077, 0.17, 0.057, 0.853, 1.849, 5.632, 93.54, 0.011, 0.027, 0.051, 0.019, 0.023, 0.004, 21.31, 27.26, 139.9, 1403.0, 0.134, 0.212, 0.345, 0.149, 0.234, 0.074, M
13.98, 19.62, 91.12, 599.5, 0.106, 0.113, 0.113, 0.065, 0.167, 0.065, 0.221, 0.953, 1.602, 18.85, 0.005, 0.018, 0.022, 0.01, 0.012, 0.003, 17.04, 30.8, 113.9, 869.3, 0.161, 0.357, 0.407, 0.183, 0.318, 0.106, M
15.1, 22.02, 97.26, 712.8, 0.091, 0.071, 0.053, 0.033, 0.162, 0.057, 0.31, 0.834, 2.097, 29.91, 0.005, 0.01, 0.016, 0.009, 0.011, 0.002, 18.1, 31.69, 117.7, 1030.0, 0.139, 0.206, 0.271, 0.153, 0.268, 0.079, M
19.21, 18.57, 125.5, 1152.0, 0.105, 0.127, 0.132, 0.09, 0.192, 0.06, 0.728, 1.193, 4.837, 102.5, 0.006, 0.023, 0.029, 0.015, 0.019, 0.003, 26.14, 28.14, 170.1, 2145.0, 0.162, 0.351, 0.388, 0.209, 0.354, 0.083, M
19.55, 23.21, 128.9, 1174.0, 0.101, 0.132, 0.186, 0.102, 0.199, 0.059, 0.611, 2.836, 5.383, 70.1, 0.011, 0.041, 0.075, 0.034, 0.028, 0.006, 20.82, 30.44, 142.0, 1313.0, 0.125, 0.241, 0.383, 0.182, 0.258, 0.076, M
14.22, 23.12, 94.37, 609.9, 0.108, 0.241, 0.198, 0.066, 0.238, 0.075, 0.286, 2.11, 2.112, 31.72, 0.008, 0.135, 0.117, 0.017, 0.051, 0.012, 15.74, 37.18, 106.4, 762.4, 0.153, 0.933, 0.849, 0.177, 0.517, 0.145, M
20.48, 21.46, 132.5, 1306.0, 0.084, 0.083, 0.09, 0.06, 0.147, 0.052, 0.687, 1.041, 5.144, 83.5, 0.008, 0.031, 0.043, 0.017, 0.013, 0.004, 24.22, 26.17, 161.7, 1750.0, 0.123, 0.231, 0.316, 0.144, 0.224, 0.071, M
13.17, 18.66, 85.98, 534.6, 0.116, 0.123, 0.123, 0.073, 0.213, 0.068, 0.287, 0.894, 1.897, 24.25, 0.007, 0.023, 0.029, 0.012, 0.017, 0.004, 15.67, 27.95, 102.8, 759.4, 0.179, 0.417, 0.501, 0.209, 0.39, 0.118, M
20.58, 22.14, 134.7, 1290.0, 0.091, 0.135, 0.164, 0.096, 0.176, 0.05, 0.86, 1.48, 7.029, 111.7, 0.008, 0.036, 0.055, 0.028, 0.032, 0.002, 23.24, 27.84, 158.3, 1656.0, 0.118, 0.292, 0.386, 0.192, 0.291, 0.059, M
15.5, 21.08, 102.9, 803.1, 0.112, 0.157, 0.152, 0.085, 0.208, 0.069, 1.37, 1.213, 9.424, 176.5, 0.008, 0.039, 0.045, 0.021, 0.02, 0.006, 23.17, 27.65, 157.1, 1748.0, 0.152, 0.4, 0.421, 0.213, 0.3, 0.105, M
20.16, 19.66, 131.1, 1274.0, 0.08, 0.086, 0.116, 0.077, 0.193, 0.051, 0.592, 0.686, 3.868, 74.85, 0.005, 0.014, 0.026, 0.012, 0.022, 0.002, 23.06, 23.03, 150.2, 1657.0, 0.105, 0.154, 0.261, 0.142, 0.306, 0.059, M
15.08, 25.74, 98.0, 716.6, 0.102, 0.098, 0.124, 0.066, 0.165, 0.065, 0.653, 1.506, 4.174, 63.37, 0.011, 0.024, 0.049, 0.017, 0.021, 0.005, 18.51, 33.22, 121.2, 1050.0, 0.166, 0.236, 0.403, 0.153, 0.265, 0.094, M
21.71, 17.25, 140.9, 1546.0, 0.094, 0.086, 0.117, 0.085, 0.172, 0.051, 1.207, 1.051, 7.733, 224.1, 0.006, 0.011, 0.021, 0.012, 0.013, 0.002, 30.75, 26.44, 199.5, 3143.0, 0.136, 0.163, 0.286, 0.182, 0.251, 0.065, M
